Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,478e69ee-3870-48ca-a23c-17a7341c6ba0,Ethiopia Electricity Access - per Cluster,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,3ea19ac8-0060-405d-8321-c9842486fca9,Ethiopia Irrigated Lands,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,7e9cadcc-a232-4164-9116-53bb50b65d27,Ethiopia Literacy Levels - per cluster,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,c7bbda1b-a503-469f-9524-d57ac9ae9dc0,Ethiopia Above Ground Biomass,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,d981c8b8-9b55-4f08-85fd-d03c5bd24aaa,Ethiopia Agro - biodiversity dataset,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,555a20ff-eac4-4846-8266-c474d6b14def,Ethiopia Household Members -Per  Clusters,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,83ace90c-8f69-4641-b1fa-b339f80853a6,Ethiopia Sex of Household Head - in Clusters,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,b8ba7d0a-e419-42be-b034-221a58514ecc,Ethiopia cluster Anemia Levels,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,0f6c0d78-be5d-46e7-92f9-e32e7657b9d9,Ethiopia NightTime Light,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,4325303e-2254-423f-9386-8717987e2150,Ethiopia _Livestock_Density,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,b69abbf7-3165-47ba-9155-a9336bfa49f7,Ethiopia Aridity,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,ce211a9f-74be-48ce-90fe-4edbe2b3c843,Ethiopia population Density -,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,8f30a1ff-0011-487e-8bd0-081d59a44dd9,Somalia _Livelihood  Zones,,,,,,,,,,,,,,,,,,,,,
