Green Climate Fund - GCF Funded Activities,
4355e743-adb6-46d3-98b5-342d85a1cdd7,Madagascar - GCF Funded Activities
902428d7-2885-4dae-af88-e1dc08cf0a7a,Serbia - GCF Funded Activities
f6736a8f-1694-4565-a536-34b1d25fb682,Tunisia - GCF Funded Activities
e569cee3-e717-46dc-bd4a-fd36dd2ac463,Mongolia - GCF Funded Activities
0c42df47-1f4c-4c3b-9eba-863f8477edf9,Jordan - GCF Funded Activities
c50046d1-b4a5-43e9-98a1-750859a282d5,Egypt - GCF Funded Activities
c73b0d77-bff8-4c1f-9d07-2a6c947b61b3,Republic of Moldova - GCF Funded Activities
a7571a8c-c03a-48e1-a501-01798999f10e,Georgia - GCF Funded Activities
ff84577c-4b89-4093-844d-356f9cc02bc9,Namibia - GCF Funded Activities
752c4d45-e3c3-417d-88ef-8400e753ec08,Morocco - GCF Funded Activities
2a0284b7-f21a-488c-9d03-9aa78b1151b1,Grenada - GCF Funded Activities
0ea93867-4a29-411d-b17a-78e0021bc105,Ecuador - GCF Funded Activities
1f795a90-a781-47a9-9214-775766999af3,Sri Lanka - GCF Funded Activities
30d229ed-44a7-412f-8fdc-b54e8fe45163,Viet Nam - GCF Funded Activities
de6046a3-f3f6-4784-bc06-747d713cdd82,Mali - GCF Funded Activities
07aec7f1-2f10-41a4-92ea-fc8f8f181c5f,Armenia - GCF Funded Activities
bf1a2fa2-7528-45e7-914e-cebbd8b30480,El Salvador - GCF Funded Activities
4fb56417-9cdf-4f8c-9727-50aac4dc5c82,Kenya - GCF Funded Activities
a7e796d9-22d1-4b30-8f5d-9c9dd649c0cc,Bangladesh - GCF Funded Activities
fa0a6a93-accd-48a3-bb0a-e80f732d1d19,Senegal - GCF Funded Activities
b384236e-b572-4b2f-b4cf-8433c250e48c,Peru - GCF Funded Activities
af713258-dc39-49b5-b7de-20c213f18f8f,GCF Readiness Programmes
77cf7290-26d9-4c91-946e-d7bb4c3bf6c7,GCF Accredited Entities
b5a8304c-589a-4459-87b8-36708bfe20a5,GCF Funded Countries
c6245ed1-daef-4fb0-af24-1f25862aa83b,GCF Funded Activities
24b8ae5e-2597-4d01-9daa-f93f2b10b6cf,Bahrain - GCF Funded Activities
f14b4954-2160-4995-8083-d150871ef855,Azerbaijan - GCF Funded Activities
e71538d1-ce02-468d-8674-b982a65a6a39,Iraq - GCF Funded Activities
01d6a355-10eb-44d4-8e4c-d7005f1492ed,South Sudan - GCF Funded Activities
117dd85e-8012-434d-bbb0-bedc1d5d7ca7,Trinidad and Tobago - GCF Funded Activities
9b3ac121-8674-4864-8a76-53d61c2ebd87,Somalia - GCF Funded Activities
60c234b2-a3a7-4059-88d4-5eca1aba565f,Sao Tome and Principe - GCF Funded Activities
7536bb95-8b7e-40d8-b486-fb3f535e69fa,Bolivia (Plurinational State of) - GCF Funded Activities
543bba9e-8752-4b0a-9ea0-6a55db6fe318,Suriname - GCF Funded Activities
09a12c47-0320-4374-a356-28754b9aee1c,Guyana - GCF Funded Activities
2bae918f-b7ce-435a-b876-9fc21607132f,Central African Republic - GCF Funded Activities
d06e074f-3928-4f19-831a-3010dc8fe2fb,Liberia - GCF Funded Activities
f9dfa809-08d5-4ba8-99cc-7eca233d4ddf,Congo - GCF Funded Activities
801dc05d-de53-47ed-b1cc-4ad9ecb4ae63,Botswana - GCF Funded Activities
8c3bd9b4-61c3-4b10-935e-fc9e6f77f723,Lebanon - GCF Funded Activities
bad2f7eb-a7ba-493f-aea2-3dfd7199dd8b,Bahamas - GCF Funded Activities
4c50ae1f-08be-4130-97d1-b4f5697e4b72,Uruguay - GCF Funded Activities
427f7b34-c860-46a7-b5d1-9ae4f9a949cd,Myanmar - GCF Funded Activities
fea06a03-4c87-4190-9326-40eff1255d1d,Montenegro - GCF Funded Activities
f90a4241-c87b-4ef3-ad81-901d5ff7ad7a,Jamaica - GCF Funded Activities
611f9367-3ffc-4d22-be86-f5340f7203a1,Haiti - GCF Funded Activities
ee2e92c2-15ee-4b6b-90c4-84ea9262f302,Gabon - GCF Funded Activities
30592ec4-af95-4ac9-bfbf-fef10af17eef,Palau - GCF Funded Activities
70b6f979-3720-4eeb-911d-8fd48074d8ab,Niue - GCF Funded Activities
2a396ec3-6ec3-4ca4-8f86-3a04447cd26b,Seychelles - GCF Funded Activities
2db21c84-b80e-4a07-bd9d-1e08104336e4,Afghanistan - GCF Funded Activities
5d5c4bc1-8a16-4c9d-9e7f-eb2d96a0cc8b,Sierra Leone - GCF Funded Activities
5a826794-258a-4470-b77e-861f5ae23916,Zimbabwe - GCF Funded Activities
0b0ac476-4468-41c5-8521-7ab8e3de22e5,Cuba - GCF Funded Activities
43b32088-caa1-4c33-ad77-5a0c2c487a8f,Nepal - GCF Funded Activities
9258f6af-7ac9-4fc4-a904-f979a976ec3b,Kyrgyzstan - GCF Funded Activities
aaa1d3c8-cea0-4e70-a2b7-624be1c7e358,Timor-Leste - GCF Funded Activities
1672e2a6-8c9a-470b-a97b-799645574524,Belize - GCF Funded Activities
7f1b2e23-0fc6-400c-b9e2-742792f33009,Burundi - GCF Funded Activities
bc3468af-6e6a-4ff8-9a51-ef72a3240160,Lesotho - GCF Funded Activities
9ea98064-16dd-49a8-836c-51d6ba5261a4,Eswatini - GCF Funded Activities
828f1c4a-70b9-4a0c-b7bd-2ed1e2c22a7a,Nicaragua - GCF Funded Activities
2c10a275-a007-481c-b08d-55bddc38161e,Democratic Republic of the Congo - GCF Funded Activities
e2bb82a0-5d8f-4ac4-b9d0-d79014f34c06,Comoros - GCF Funded Activities
dade70ad-7ed2-412f-88ae-3258e0cb7ac6,Kiribati - GCF Funded Activities
834ef87b-753b-4c4d-9d5f-7579f5afb2e6,China - GCF Funded Activities
f464b337-a9c7-4db6-95a3-4c0916a9211e,Cambodia - GCF Funded Activities
e1cd0e39-c1a3-48d2-aacf-369f040fe356,Zambia - GCF Funded Activities
a3360bbc-fa4e-4e8b-a44c-a2b82c693194,Paraguay - GCF Funded Activities
90a0df70-3767-45d9-af81-bb2adbe4f146,Antigua and Barbuda - GCF Funded Activities
eeda1d54-8680-44d4-aa80-b67bec656030,Barbados - GCF Funded Activities
54553b5c-0356-437f-baeb-d1fbe42686c6,Bosnia and Herzegovina - GCF Funded Activities
1b3202b9-06af-4749-97bd-debbf2d50a8a,Bhutan - GCF Funded Activities
779c4b0d-6233-4768-8790-0f1358c4b984,Kazakhstan - GCF Funded Activities
452c739f-a067-4c20-a53c-7b48b5babca5,India - GCF Funded Activities
694acf7b-4d3e-49bf-929e-339301aaf9db,Solomon Islands - GCF Funded Activities
49205341-f608-4daf-9552-69e9ad1ea495,Micronesia (Federated States of) - GCF Funded Activities
82fdc0c1-b6cc-4405-b668-cfb72c855df8,Papua New Guinea - GCF Funded Activities
469f17c5-3704-4acc-9db2-dd75c8ed85ae,Marshall Islands - GCF Funded Activities
47dbf523-1439-4114-8cd9-0a9288bd8be1,Samoa - GCF Funded Activities
ee0a46cc-0581-43eb-b43a-096c920c6102,Nauru - GCF Funded Activities
1d6688b8-cc0b-4df4-97af-7d3380e2430d,Tonga - GCF Funded Activities
c370a503-2685-42bc-a8bb-c202db7316f3,Cook Islands - GCF Funded Activities
b6771f93-9a69-4e33-b598-7b96fcadb55e,Vanuatu - GCF Funded Activities
c26a2e99-233c-4e5c-b58e-148d93cae6bd,Dominica - GCF Funded Activities
e5c3b2fd-0942-4e3a-b07a-5db60a514eed,Saint Vincent and the Grenadines - GCF Funded Activities
77336162-001b-4c87-b89c-17681da40cab,Saint Lucia - GCF Funded Activities
81ce28f5-1fd4-4e36-a12d-acd5d9ee5991,Saint Kitts and Nevis - GCF Funded Activities
c7e91cf6-f9b4-4493-9836-93b5aee9476b,Pakistan - GCF Funded Activities
75dcb2ba-4039-496a-b829-79f146540a51,Chile - GCF Funded Activities
d11d3eea-ae91-4c48-ae41-ebbb21cb9b9c,Tuvalu - GCF Funded Activities
16f6f95c-b10e-48d0-bf05-bd04b919cd69,Tajikistan - GCF Funded Activities
8faf5f44-7d99-421f-8cac-0f8652c504de,Uzbekistan - GCF Funded Activities
9640a60d-00d4-4c1f-8652-26fe98eb033c,Gambia - GCF Funded Activities
88a9b016-9c81-43ba-93f0-7251b0589e2b,Fiji - GCF Funded Activities
ca833870-fa8c-483f-8dc4-ad6751e8b320,Maldives - GCF Funded Activities
7278a268-7f21-466b-917a-27b43d03990b,Rwanda - GCF Funded Activities
b003e811-fc37-4e70-9991-15205ec9aa4a,Malawi - GCF Funded Activities
