Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT),385,none|17,5b2d71b6-fdd6-4b99-a272-ed4a39f938ab|c6b7b3aa-5ad8-4fa5-b730-bf449ec0e5c2|1d975fa9-1750-4f03-b0b8-fec2a350b192|df76adbf-d023-441a-b1b9-55a325873c4d|44a244a5-1b2a-4127-bdb0-7b9c0f035096|7e8b6742-34e1-4247-b36c-e922f9392b82|ec04dfd9-edb4-43e3-8491-a90e213d8221|0ff47530-f170-4786-bc83-01f0d0f8fe60|35dff471-1d13-4567-b8cd-952d03d16f5f|666ca37c-10a2-4120-ad9a-4a209940153d|724cde39-6a2d-47bf-a710-a6cca5b3e223|08ee8885-934b-47f3-a392-da52fed73bef|e6e1a097-14fa-431a-895c-181d62e5e28d,Poland Populated Places (OpenStreetMap Export),Spain Populated Places (OpenStreetMap Export),Netherlands Populated Places (OpenStreetMap Export),Norway Populated Places (OpenStreetMap Export),China Populated Places (OpenStreetMap Export),Brazil Populated Places (OpenStreetMap Export),"Goma , Republic of the Congo Populated Places (OpenStreetMap Export)",Italy Populated Places (OpenStreetMap Export),United Kingdom Populated Places (OpenStreetMap Export),Japan Populated Places (OpenStreetMap Export),India Populated Places (OpenStreetMap Export),Indonesia Populated Places (OpenStreetMap Export),France Populated Places (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT),385,none|16,7bcd08b5-ea8f-4477-a3dd-24b62faa717f|6802a25a-30e5-4a66-b339-170da73122e9|1b3ef39f-2931-42c6-b7e4-bcbec222259a|24bddec8-fd1f-4e22-96a5-65005be4f7a1|cc9c716a-e103-4927-aa4e-f87ce978f25f|479376c1-b080-4980-9638-9492c9be755f|35e53fed-d40e-4580-902b-e8c0b8f0e924|9a3bdc5d-f977-4fc3-abf8-8b64049fa2ca|0b7f3ebf-fed5-4f02-828b-e8d9df8ed844|e31fd468-fa36-492f-acc7-181cc8018467|730ced9f-4e0b-4bf5-b094-0785ce9aaa2c|f84b9212-127e-4495-9a0f-2760c60e7da7|7970640f-ba1d-4ff2-a5f8-0b45fac1f5aa,Poland Financial Services (OpenStreetMap Export),Spain Financial Services (OpenStreetMap Export),Netherlands Financial Services (OpenStreetMap Export),Norway Financial Services (OpenStreetMap Export),China Financial Services (OpenStreetMap Export),Brazil Financial Services (OpenStreetMap Export),"Goma , Republic of the Congo Financial Services (OpenStreetMap Export)",Italy Financial Services (OpenStreetMap Export),United Kingdom Financial Services (OpenStreetMap Export),Japan Financial Services (OpenStreetMap Export),India Financial Services (OpenStreetMap Export),Indonesia Financial Services (OpenStreetMap Export),France Financial Services (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|20,be7b81df-f673-4fa3-ba0e-b3579003f986|0a319878-b7a0-4567-9301-80a35ecb7173|f78b69f8-0327-4c60-9028-cb20f7f9fa2a|efc8da5a-3582-489b-9996-47fa6c1b6780|ab390f41-0ded-40a4-a496-5fbc1b020bc5|d4b7988e-664e-480a-9b50-30e9841c267e|3fd8f091-fc89-422f-a5dd-4be7f60457d2|7492aba2-8de2-4004-a004-8daa649575b0|9e8760c1-1404-4c98-baf9-c78cbea43adf|c9bfb68a-540e-475b-a64c-7088b587a1ac|746772f7-649b-4e15-b084-f83fcadf3077|c45c1888-e2e5-4c4d-91a5-c635c0295c29|748f9fcf-e3ab-4ed4-b16f-a2e0fb0c2b8a,Poland Sea Ports (OpenStreetMap Export),Spain Sea Ports (OpenStreetMap Export),Netherlands Sea Ports (OpenStreetMap Export),Norway Sea Ports (OpenStreetMap Export),China Sea Ports (OpenStreetMap Export),Brazil Sea Ports (OpenStreetMap Export),"Goma , Republic of the Congo Sea Ports (OpenStreetMap Export)",Italy Sea Ports (OpenStreetMap Export),United Kingdom Sea Ports (OpenStreetMap Export),Japan Sea Ports (OpenStreetMap Export),India Sea Ports (OpenStreetMap Export),Indonesia Sea Ports (OpenStreetMap Export),France Sea Ports (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,dccd4bdc-4ede-4a80-b5d8-2b58834def05|4bcd7d52-0b55-42ca-bb1e-40192e02e7c3|d376bd53-4f5d-4e28-beb4-79b88b56153d|92c8acf2-68d8-4505-af2e-cf7bb330f83b|86797c5a-824f-486c-9492-28d7adac3abd|b9ce956b-00cd-4ebd-a6ef-090ef04e54d3|69145991-9fd8-4d45-ad88-d05797153ce2|5efd2d88-76bd-48b5-bf61-77ede9e4c610|ec7d1084-2127-4baa-ba0f-fa70b0a5bcc3|1e814e98-7c09-4ef8-9329-a41d5130cf32|5a7884fb-9fff-4334-8309-904cf4044a52|eb18fd07-1656-4b5b-b865-aa2cb6a5c101|4cefe8d0-52d6-4d27-8382-29ad04131482|3c2be13c-aaef-45a0-8b11-e30e1315c13e,Ukraine Health Facilities (OpenStreetMap Export),Poland Health Facilities (OpenStreetMap Export),Spain Health Facilities (OpenStreetMap Export),Netherlands Health Facilities (OpenStreetMap Export),Norway Health Facilities (OpenStreetMap Export),China Health Facilities (OpenStreetMap Export),Brazil Health Facilities (OpenStreetMap Export),"Goma , Republic of the Congo Health Facilities (OpenStreetMap Export)",Italy Health Facilities (OpenStreetMap Export),United Kingdom Health Facilities (OpenStreetMap Export),Japan Health Facilities (OpenStreetMap Export),India Health Facilities (OpenStreetMap Export),Indonesia Health Facilities (OpenStreetMap Export),France Health Facilities (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|21,621ad640-d02d-4bda-8e2c-9af688b3880a|df5337d2-3086-43a1-ad04-ff0ec7a9eaff|299c3e39-39e2-4806-90f3-f37782603a76|b1b7cad6-cf3d-4536-8f79-0cef798f68bb|af175061-b2cc-48f7-946b-27452829a68f|4546e8f1-9fec-43de-b724-d810accb5786|863bee79-3fa7-410e-8543-4b876765c0fc|02568bcf-8c45-4241-8e12-f288cc042132|c10c847e-9853-4a24-a4e4-3420d0f3054f|b86aea07-b0e8-41a5-b1d4-db88de1c5d44|a4bc3a21-078d-4d1a-acac-ce4986d9b54b|6917a8f6-2da1-4a3d-8594-bc55f20613fb|daffdfe4-f3d8-4d22-80ba-6335471fd793,Poland Airports (OpenStreetMap Export),Spain Airports (OpenStreetMap Export),Netherlands Airports (OpenStreetMap Export),Norway Airports (OpenStreetMap Export),China Airports (OpenStreetMap Export),Brazil Airports (OpenStreetMap Export),"Goma , Republic of the Congo Airports (OpenStreetMap Export)",Italy Airports (OpenStreetMap Export),United Kingdom Airports (OpenStreetMap Export),Japan Airports (OpenStreetMap Export),India Airports (OpenStreetMap Export),Indonesia Airports (OpenStreetMap Export),France Airports (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT),385,none|22,b842659c-7cdc-4313-b600-cee657138a22|9e8c6368-d23b-4d71-89df-fce7ce7e25c1|03e7edee-7fb9-4e5b-a52e-1771f5b29b4c|f3c62641-7d7e-4741-9afe-572fa03f1ec2|cdc1d6c2-a99c-412c-a03f-53874a3145df|5fd0c61a-3017-4138-9072-cc19b86e56e3|2f15cabf-d5ce-4aa5-862e-4677ccb59732|6fbb61a1-d392-4f8f-8700-541fcd445dec|657bd101-2668-46fc-a758-3657ccc677f3|c5225882-b71d-4a5f-b4bb-973b2ddb4a29|12c8300c-2425-4786-9d54-79d6d22e4d80|0651dad2-7b1e-4196-bf41-586790a4dd7a|308d8f11-4d26-40c0-ae39-9b9f140aaf86,Poland Points of Interest (OpenStreetMap Export),Spain Points of Interest (OpenStreetMap Export),Netherlands Points of Interest (OpenStreetMap Export),Norway Points of Interest (OpenStreetMap Export),China Points of Interest (OpenStreetMap Export),Brazil Points of Interest (OpenStreetMap Export),"Goma , Republic of the Congo Points of Interest (OpenStreetMap Export)",Italy Points of Interest (OpenStreetMap Export),United Kingdom Points of Interest (OpenStreetMap Export),Japan Points of Interest (OpenStreetMap Export),India Points of Interest (OpenStreetMap Export),Indonesia Points of Interest (OpenStreetMap Export),France Points of Interest (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT),385,none|19,b6a83bfb-0e46-4db5-b3ab-ff53919772a1|8ddfa8b6-275d-44ef-9c0e-604c8f7083e5|e7a7c781-3164-4618-a8f9-c667bf1b48f9|e55fd4b2-193c-4a7e-af35-981ced60a068|63418332-925f-47a5-8195-5635d01d8bba|0b313300-e6d5-4112-af66-7ce35e1bb1d8|9276e7df-6633-4fd9-aabf-8cb80fb5bc52|20cdbe58-ef6b-4da0-8eb8-954019e9e7bb|79f563fa-8956-4cfb-9e35-0d8333914a00|74658c28-6ee5-4095-8646-97f2e3bb6ca1|46a55ab8-73a3-4e09-bd64-dc42f1d7b6a3|e99f722a-9df6-4dc1-92e5-86c03ab82f88|ba6c0634-c08a-4e54-aa1b-671bba28db2f,Poland Education Facilities (OpenStreetMap Export),Spain Education Facilities (OpenStreetMap Export),Netherlands Education Facilities (OpenStreetMap Export),Norway Education Facilities (OpenStreetMap Export),China Education Facilities (OpenStreetMap Export),Brazil Education Facilities (OpenStreetMap Export),"Goma , Republic of the Congo Education Facilities (OpenStreetMap Export)",Italy Education Facilities (OpenStreetMap Export),United Kingdom Education Facilities (OpenStreetMap Export),Japan Education Facilities (OpenStreetMap Export),India Education Facilities (OpenStreetMap Export),Indonesia Education Facilities (OpenStreetMap Export),France Education Facilities (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,OCHA FTS - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS),222,none|4,dc97837e-20e5-439e-86a8-784e18168565|e1b8174e-cbca-490b-8a4b-ec22f8311f88|d01db170-b91e-4008-ad87-4fd6f53bbb2a|b8776cd8-5b27-4744-97a9-8a5f73d767d0,Democratic Republic of the Congo - Requirements and Funding Data,Curaçao (Netherlands) - Requirements and Funding Data,Bahrain - Requirements and Funding Data,Aruba (Netherlands) - Requirements and Funding Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,Humanitarian Needs Overview,data series,OCHA Humanitarian Programme Cycle Tools (HPC Tools),7,none|241,8326ed53-8f3a-47f9-a2aa-83ab4ecee476,"Global Humanitarian Programme Cycle, Humanitarian Needs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,OCHA FTS - Humanitarian Response Plan Projects,data series,OCHA Financial Tracking System (FTS),48,none|8,b48e0c6c-d817-4517-95ff-645ea39fee6b|03441778-0d69-42c8-a887-d6430663f2e8|a07d3c03-66a7-4bed-a985-d9e260224e45|05799c59-a13d-475e-a405-ef26510e8e83,Humanitarian Response Plan projects for Congo,Humanitarian Response Plan projects for Grenada,Humanitarian Response Plan projects for Saint Vincent and the Grenadines,Humanitarian Response Plan projects for Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
