WHO - Historical Health Indicators,
29d235de-024d-4f1f-abd6-fe264d4678d2,Norway - Historical Health Indicators
1f4204a1-467f-4aae-a61d-009b84493d3c,Netherlands (Kingdom of the) - Historical Health Indicators
cd7c6dd0-1b02-47d8-8b4b-bf2e82376dec,Niue - Historical Health Indicators
de566ec4-814a-47c1-b138-28d24f27191f,Nicaragua - Historical Health Indicators
7a9ed358-b182-4435-8c7b-a49d817755e8,Nigeria - Historical Health Indicators
f30c8c3e-43ec-4709-9105-f13d0362b647,Niger - Historical Health Indicators
b7ef303a-4e1f-4e59-80f2-0d4ced75f861,New Caledonia - Historical Health Indicators
d8d471e7-80e1-4194-9232-b635db831d7b,Namibia - Historical Health Indicators
515d8f35-3636-4dac-adb4-d5c472e1e156,Mayotte - Historical Health Indicators
71a62c43-39af-47dc-af62-315803bf8891,Malaysia - Historical Health Indicators
c59e3add-7acb-46bb-889c-2f5e696001c5,Malawi - Historical Health Indicators
0cf05b5c-fef6-44e4-99e7-62e567831b0a,Mauritius - Historical Health Indicators
2b920310-f8f6-4567-ab4e-effeecca998d,Montserrat - Historical Health Indicators
d6b8bf37-a337-4042-a5dd-515226d67dc0,Mauritania - Historical Health Indicators
b920702b-c5f3-4267-8c83-f007a249377a,Mozambique - Historical Health Indicators
ce319168-f34e-4e09-9fa0-6fbed88a453f,Northern Mariana Islands - Historical Health Indicators
5f316af1-5590-417f-b7ce-c4d2e0986b6d,Mongolia - Historical Health Indicators
d0a1b6ef-f27b-4448-a236-094b62128eb5,Montenegro - Historical Health Indicators
ebfea3f8-5fb0-406b-9ef6-450c6c24bbe0,Myanmar - Historical Health Indicators
9c3f36d4-488b-4f1b-b810-582cb45ec01d,Malta - Historical Health Indicators
089b167e-8657-4741-9d40-6c58d37f459b,Mali - Historical Health Indicators
bdbdf1f0-7e49-4414-93dd-8da54b578cf2,North Macedonia - Historical Health Indicators
cd4ba70c-b5b8-4e8f-be32-fa2e155e066f,Marshall Islands - Historical Health Indicators
c431979f-9bfe-4c11-afea-f06611579896,Mexico - Historical Health Indicators
efb1bacb-23b2-4990-9053-081148a62fd4,Maldives - Historical Health Indicators
8bddaf2c-ea3c-4621-bf86-6515d3ad206b,Madagascar - Historical Health Indicators
b4ff13ce-640f-4b12-875f-0f52c7f0da2c,Republic of Moldova - Historical Health Indicators
6774c734-c6e8-4e03-a75f-6fc7b310780b,Monaco - Historical Health Indicators
6f8e181a-d252-48d5-a437-a7ff7f3d22c9,Morocco - Historical Health Indicators
bf80f41e-eaa3-4f95-9ba8-dc5954526a99,"China, Macao Special Administrative Region - Historical Health Indicators"
2a3181c9-cd17-4fe2-84b1-69f102817683,Latvia - Historical Health Indicators
3ebcca7b-d36e-4a5b-b086-54d247e9581a,Luxembourg - Historical Health Indicators
336fc2c1-2f23-4501-8566-2f673d0960a1,Lithuania - Historical Health Indicators
3b65ee40-24ff-480e-bd3d-8810fd45d682,Lesotho - Historical Health Indicators
0744e838-7f93-4e1c-ab67-0284878df114,Sri Lanka - Historical Health Indicators
cb8950f1-524f-4032-930e-6cd4a7c482c3,Liechtenstein - Historical Health Indicators
9d3feabb-2796-45c9-9240-a3455a9ed292,Saint Lucia - Historical Health Indicators
dd3fa94b-16d3-4a60-aaee-d711d4a3ce8c,Libya - Historical Health Indicators
48168666-f8fc-48b6-8584-aed9e1ba7af6,Liberia - Historical Health Indicators
72eb34a9-2ca6-424d-81d0-912ce9a4bb38,Lebanon - Historical Health Indicators
96648901-6ea1-44d1-8a1a-e551a22bf2ab,Lao People's Democratic Republic - Historical Health Indicators
f2e2d67a-762f-4a8c-b00a-f1dfdcd870fd,Kuwait - Historical Health Indicators
370ef187-6d76-41b9-9155-fb090719752f,Republic of Korea - Historical Health Indicators
838c35a6-2942-4061-9b80-3dad5b50e297,Saint Kitts and Nevis - Historical Health Indicators
46b5b0eb-c9a5-49bd-9004-ba9f69f0440c,Kiribati - Historical Health Indicators
404d074d-7ba5-4c37-85c7-87563b67f40e,Cambodia - Historical Health Indicators
831be070-c2d5-4166-9b85-555623887feb,Kyrgyzstan - Historical Health Indicators
6668f236-489d-41bd-8f79-cce35d86b448,Kenya - Historical Health Indicators
7f93fe07-a5e3-45b6-9254-7816a45ece14,Kazakhstan - Historical Health Indicators
7da78b51-fba7-4b6f-af92-a669a0679e8c,Japan - Historical Health Indicators
b37579f1-c27f-4ba2-967a-fc2bdead8719,Jordan - Historical Health Indicators
8f5752dc-e85f-431f-9670-b57c49e142d3,Jamaica - Historical Health Indicators
a2e9a678-eccb-410a-aa29-94baeb7673f8,Italy - Historical Health Indicators
65d0dce0-cb28-45b8-b489-4a52a34c619d,Israel - Historical Health Indicators
846df14a-4c5f-4907-8ecf-f007bdb1f626,Iceland - Historical Health Indicators
b39c7a7d-b061-40ab-a01c-f2a6f0c0ae3d,Iraq - Historical Health Indicators
bdecc5c0-4bf3-4579-b74b-4543065632bc,Iran (Islamic Republic of) - Historical Health Indicators
253e39c2-c654-4ea0-8a93-f85d8bfc0e4c,Ireland - Historical Health Indicators
e1a756cc-259e-43b4-a0fb-3957c866a2e2,India - Historical Health Indicators
aacab3ba-89c0-4821-b314-a07028672511,Indonesia - Historical Health Indicators
f3d8798d-c4bd-41f6-8410-f9106f35721e,Hungary - Historical Health Indicators
b3f7a329-ff20-49c3-a573-79ad400888e2,Haiti - Historical Health Indicators
dc3a292c-e7da-4fd9-ba40-a4d8d3627d76,Croatia - Historical Health Indicators
492bcbf7-a7da-43e4-9ed4-cbed6f9f3d71,Honduras - Historical Health Indicators
005afc42-8cec-4eac-9d63-b50c16c2f97b,"China, Hong Kong Special Administrative Region - Historical Health Indicators"
80c1907f-30fe-4eb2-9fc6-93ca688c7ed9,Guyana - Historical Health Indicators
5835a4cd-e205-4fa4-8c07-64f86b7687b8,Guam - Historical Health Indicators
2c8a5fd1-70f4-4357-880d-a6e675367bb1,French Guiana - Historical Health Indicators
0920a46d-5544-4c50-a09e-1c39014d1a5c,Guatemala - Historical Health Indicators
204e56b4-24a2-4dd7-8bdd-dca1fbe73abf,Greenland - Historical Health Indicators
ade178b4-1106-444d-afe9-4c772d3047cb,Grenada - Historical Health Indicators
8cd1efc0-5232-4f3e-bb3c-ef15bf189daa,Greece - Historical Health Indicators
0055a79f-63d1-473d-89e1-e15ed357fe1c,Equatorial Guinea - Historical Health Indicators
10ba79e8-ac60-4c6a-a449-dc96c326130d,Guinea-Bissau - Historical Health Indicators
bb367525-337c-430e-8123-a15492072d03,Gambia - Historical Health Indicators
6be414af-e09a-4e19-832e-f98d7c3e95f3,Guinea - Historical Health Indicators
d640ac09-7f5a-4bca-b6ce-0ff28410953f,Ghana - Historical Health Indicators
f7894660-566a-4536-bb8a-0077e561891f,Georgia - Historical Health Indicators
83241c53-9470-4883-8fcf-d3b6eb307a9b,United Kingdom of Great Britain and Northern Ireland - Historical Health Indicators
4b78d148-603b-4f23-8086-1394299174d0,Gabon - Historical Health Indicators
c8c2b966-5d83-411e-a511-c93796f83131,Micronesia (Federated States of) - Historical Health Indicators
001cb352-2520-4d12-9249-44d6590eef73,France - Historical Health Indicators
47beb1b3-7e05-4b3f-b1e5-482746fea268,Fiji - Historical Health Indicators
1f910c5a-9640-4c41-ae3c-b53a872be0c3,Finland - Historical Health Indicators
22c89dca-c7aa-429f-a500-6fc6deb5e0bc,Ethiopia - Historical Health Indicators
4d87c94e-6962-4eaf-b38d-26110f2e50d7,Estonia - Historical Health Indicators
97fc3724-bbee-4a11-a612-b71f426f3ea6,Spain - Historical Health Indicators
8dde43b7-4105-4222-8337-0b3e3b184350,Eritrea - Historical Health Indicators
991ec92d-507d-4728-96d1-6a432fb67af9,Egypt - Historical Health Indicators
a82643de-c66a-4fc4-8fec-b9e8a2a167bb,Ecuador - Historical Health Indicators
7be196a7-a295-4f86-85e0-93b9e9eaf8e2,Algeria - Historical Health Indicators
2183e5cf-b1b6-44a2-91f6-81773b829be4,Dominican Republic - Historical Health Indicators
18bc912b-3eb0-44e1-a8f5-1e6173c9272c,Denmark - Historical Health Indicators
10141ee1-485c-4ed8-a313-aa21e3308479,Dominica - Historical Health Indicators
dc416929-312a-4f01-90c7-d1495d93f328,Djibouti - Historical Health Indicators
5d573606-57c2-44de-b82b-5ea71a58d729,Germany - Historical Health Indicators
3161ab81-44bb-4c56-83e9-7bf1744084e3,Czechia - Historical Health Indicators
799fa80d-681f-4c83-b544-919ef21f7a1e,Cyprus - Historical Health Indicators
a57625d9-53a2-4a01-a2a0-b398d3aaadea,Cayman Islands - Historical Health Indicators
55b163d3-9b4a-40b2-9c32-b6a65fe3de39,Curaçao - Historical Health Indicators
6cc2e2d0-94cd-4a28-989c-0f02f687fd81,Cuba - Historical Health Indicators
5aa8ca69-b2c7-4c97-aec1-ff64faacfa73,Costa Rica - Historical Health Indicators
b18e0748-03db-463d-b299-7c63feaa2261,Cabo Verde - Historical Health Indicators
4374445e-7da1-41ec-beec-7de238cf7e13,Comoros - Historical Health Indicators
2262ebde-9721-4b10-82e5-e99989588f84,Colombia - Historical Health Indicators
090e1190-312d-4bd0-9169-a45dfd682d0b,Cook Islands - Historical Health Indicators
bb21122c-dc67-483f-85df-d8bf74bbda8c,Congo - Historical Health Indicators
d29e18fa-d4e7-47f8-af99-d74929de1ddf,Democratic Republic of the Congo - Historical Health Indicators
d805f595-8223-419d-a453-3ec3cbb274bd,Cameroon - Historical Health Indicators
6c603430-ff42-4c80-ad49-2f5ecdac9948,Côte d'Ivoire - Historical Health Indicators
d8624391-0579-45cf-9c71-dc18ecda52f2,China - Historical Health Indicators
bdcd5be4-abc3-4ff9-92d8-8c6e590f70f4,Chile - Historical Health Indicators
9876caef-1d33-4b4c-80ef-15887846d3d7,Switzerland - Historical Health Indicators
7d38573a-61d7-4603-9dd7-f759e76aa0fa,Canada - Historical Health Indicators
31c60d73-e292-4998-867f-b0bdcfecf730,Central African Republic - Historical Health Indicators
fbac0ba0-3faf-4483-b1d7-0539fbc71daf,Botswana - Historical Health Indicators
fdaf2f26-1d6b-4f50-ab01-6db676b20a78,Bhutan - Historical Health Indicators
d23f87c3-1a02-4558-83d8-c8fc7005cb96,Brunei Darussalam - Historical Health Indicators
8868ca89-f733-4d7f-8618-62eb6e36c4ac,Barbados - Historical Health Indicators
ef525c57-a7b3-470c-8b72-80275a3d7b36,Brazil - Historical Health Indicators
73dadb38-39e0-439e-bfb7-948645532e4d,Bolivia (Plurinational State of) - Historical Health Indicators
79119ac7-7763-46a2-9105-71b47058e746,Bermuda - Historical Health Indicators
ace11b30-b6c9-4d63-988c-dcb4e01b70ff,Belize - Historical Health Indicators
b90c8ce2-5076-4768-8d95-23ae5fbfd116,Belarus - Historical Health Indicators
eadbbf51-8f2b-4941-afe3-2d9e95c2b67f,Bosnia and Herzegovina - Historical Health Indicators
aa448692-2e58-41df-a22e-e2516c88b40f,Bahamas - Historical Health Indicators
c84a80a8-d37b-4dd2-9044-b712d745eacb,Bahrain - Historical Health Indicators
f3c06e95-7572-41f0-b003-e69d32cf1df4,Bulgaria - Historical Health Indicators
143c4d7f-d67d-459b-b55d-a88752602874,Bangladesh - Historical Health Indicators
89bbef17-5427-404c-ba64-d2e66d3e9668,Burkina Faso - Historical Health Indicators
340ec1cf-e0e2-404a-b211-9b0517561735,Benin - Historical Health Indicators
3d549a2b-d2d5-480f-a0ac-ddda8bbe6a54,Belgium - Historical Health Indicators
9a623096-0879-4b08-88f5-0a037ab4d6f5,Burundi - Historical Health Indicators
ddf774fa-4594-4d7c-b2a9-d91e56e2d8ab,Azerbaijan - Historical Health Indicators
3e83f0ec-fd78-430d-a3f4-177d5f213883,Austria - Historical Health Indicators
2b71a5e2-36e0-47d4-b643-d9d65c10e9ff,Australia - Historical Health Indicators
c20bbdc1-1954-4f41-b19e-567ce6baa7d1,Antigua and Barbuda - Historical Health Indicators
76f6b1c3-b8d4-4cde-a7f5-3417fe2aadc4,American Samoa - Historical Health Indicators
086f7059-8e08-49d3-9df2-e159a07e054e,Armenia - Historical Health Indicators
6a8a97b3-dc9d-4092-8377-0b8905920aa0,Argentina - Historical Health Indicators
a4033394-3305-4c48-a5cf-a706c0479c6b,United Arab Emirates - Historical Health Indicators
f7f302f2-90fd-4a22-8e30-b93fb26c6eed,Andorra - Historical Health Indicators
26dbf3e7-04ef-49ed-95cd-133fa9b60004,Albania - Historical Health Indicators
25dee5d8-cb57-4059-995b-bffa56a0428f,Anguilla - Historical Health Indicators
31097a1f-d8dd-41e5-a079-9cf90d48a095,Angola - Historical Health Indicators
63e285bf-2445-4be8-bd14-33f843ec5e15,Afghanistan - Historical Health Indicators
674dbf76-7bf2-4bfe-b9ce-16bcb55ecc55,Aruba - Historical Health Indicators
