WHO - Health Indicators,
e99ca5c1-de6a-430c-b88c-49a8e229374d,Mongolia - Health Indicators
f0a4b660-1d5e-486d-9e7d-aaf0dd081c63,Montenegro - Health Indicators
0f1e5cec-9d9b-4afb-b258-71b83c6bf1ea,Malta - Health Indicators
c17a1de1-fec6-4f09-aa99-92a37b2d9b4f,North Macedonia - Health Indicators
aeacda8d-5978-427b-8adb-0250f08f879c,Marshall Islands - Health Indicators
a55652a1-de44-431c-a5cd-2df92ac94ecc,Maldives - Health Indicators
5ac99cc1-449f-43e3-a876-755d1beef29b,Republic of Moldova - Health Indicators
dcd9beeb-be7c-48df-9e73-5fbf9da97881,Monaco - Health Indicators
ec6a9bb4-c7dd-452c-a4ee-0025824b423a,Latvia - Health Indicators
fc73d4e4-59c0-4b0a-890f-61066123e3bd,Luxembourg - Health Indicators
cc46c2ba-5791-402d-ab31-445e5a2456cf,Lithuania - Health Indicators
dba533d1-9f78-415a-a8ee-c9ed0305316f,Lesotho - Health Indicators
22072ee2-92a7-4529-baf4-cec0c8fd1f60,Saint Lucia - Health Indicators
f2720fbd-a0ca-47e8-ae92-52957c18401e,Libya - Health Indicators
569b10b6-cd94-4613-8a85-c358cba15685,Lebanon - Health Indicators
3395b2eb-acda-4228-a8b2-6eb3bc90ad75,Kuwait - Health Indicators
8bc16cf5-1ba4-45cc-9594-2c47b39dbf16,Saint Kitts and Nevis - Health Indicators
2863b058-c5a1-45fa-9a6d-888726853065,Kiribati - Health Indicators
04b52c93-93cb-4800-beb8-c2679b37f6df,Japan - Health Indicators
e05ab459-c74c-4487-b7aa-b439e9e35038,Jordan - Health Indicators
ab48cf72-e257-4a01-b8b6-f3ea32fb759d,Jamaica - Health Indicators
2f503fed-72e7-4e63-97e3-154931bf2926,Italy - Health Indicators
a05b30fa-2696-47e6-ac13-7ff4b1d71d6f,Israel - Health Indicators
88381b46-404c-439e-b588-c0b03f407c70,Iceland - Health Indicators
fb8997cb-62b8-4740-840c-546c2696f8f3,Ireland - Health Indicators
cc8ed539-ea56-4ef8-bdee-3c647260ec17,Hungary - Health Indicators
0d7e4a34-2fe6-4d1b-94ef-2d2f0a3ea9f9,Croatia - Health Indicators
115ace5e-3095-4d84-b31d-340c683c12e2,Grenada - Health Indicators
6bc4b43e-3e34-42be-a492-420dc71f29f0,Greece - Health Indicators
e2e1d6ff-561a-47b9-b4db-e444300c9626,United Kingdom of Great Britain and Northern Ireland - Health Indicators
95fd0c3c-02de-46d1-a1cc-e3c16b660d98,Micronesia (Federated States of) - Health Indicators
9117cd23-a6bc-4904-a477-c72fcb393dcd,France - Health Indicators
4175976f-2773-4d30-b6f0-d19730cac950,Fiji - Health Indicators
1bc0ce7c-451c-4507-bd2e-ec3589b861fb,Finland - Health Indicators
c2dfe3f7-3029-4d15-95b9-ed136bcf92a6,Estonia - Health Indicators
8f226cb6-d5a0-4b16-a461-be9cb78dd822,Spain - Health Indicators
d10a341b-727b-40d4-bc39-8195b2aa18bf,Denmark - Health Indicators
2b510afe-36a7-4b0d-905d-b7e72f321ce9,Dominica - Health Indicators
23af751e-84a4-44dd-bcc7-bcd758ad00a1,Germany - Health Indicators
b0b701e4-85d4-4712-8b0d-796247c22fea,Czechia - Health Indicators
d9485440-8137-495d-86a3-81fee0a60bdf,Cyprus - Health Indicators
655f6da2-dc7e-43cd-b50a-7f72e25c32d1,Cuba - Health Indicators
abcca92e-4249-418b-8d2e-82c3dd7d428d,Cook Islands - Health Indicators
4e60b930-f57b-4b24-af4b-9d12acfbe668,Chile - Health Indicators
6c032293-aa07-497d-9e38-40c2ec80c6fd,Switzerland - Health Indicators
964e7f0e-11f9-4bcd-b4de-1d20a75b6551,Canada - Health Indicators
d9b24206-f75f-4611-a0b4-da6bfbac4692,Brunei Darussalam - Health Indicators
2d3d67e7-da9a-4b31-abdf-5edbc82d47f2,Barbados - Health Indicators
7dfa2313-24ca-4229-8cc2-451fdaded5cc,Belarus - Health Indicators
4547e562-06e5-4457-84f4-24bf595589ba,Bosnia and Herzegovina - Health Indicators
4874548e-4cec-4683-a26e-23c23bb9a38e,Bahamas - Health Indicators
bbec24a8-a1e9-466d-9baf-de9106f4c7b3,Bahrain - Health Indicators
954d146e-22e1-499d-9282-10052551d9ef,Bulgaria - Health Indicators
71d4fe01-82df-407e-99d9-45853e16950f,Belgium - Health Indicators
23c005e7-4d12-4e35-9f49-919ae48d0799,Austria - Health Indicators
e3e3d701-5544-4407-a856-2452d78f2b53,Australia - Health Indicators
ffd52ee5-6349-4e08-abb1-48ad6f1aed04,Antigua and Barbuda - Health Indicators
4c3d2030-5a52-4c0d-8392-0ddfebe6556a,Andorra - Health Indicators
f4a578a9-f82a-46fb-8578-a4186b1cfcba,Albania - Health Indicators
